feature_a,feature_b,region,target
0.5532605888887387,0.6581871650214526,west,0
0.21760060921947388,1.3261683934876929,north,0
-0.057989987866526184,-1.0405556845107033,west,0
-2.3189360947215656,0.986209741497253,east,0
0.4314941677088505,-0.0029098795250363098,north,0
-2.126279784450882,-0.20389078034935193,north,0
0.9099212170226342,-2.0172003657999125,north,1
0.6059655730064136,-0.20042432191697002,north,1
0.8300566485784159,0.8230373717303825,west,1
0.8276983437153878,-1.7599184629959224,south,1
0.2985144698332214,-0.5283723573590631,south,0
-0.5350014137339273,-0.7507297210471999,west,0
-0.3070622870057959,-1.6745860195820719,north,0
1.5080722715721342,0.997359557033254,north,1
-0.5822293778059019,-0.02731258298736381,west,0
-0.22812380385128453,-0.004999852401579111,east,0
-0.7245145044162855,0.9364438543837886,south,0
-0.5172493374907822,-0.7983181945814336,east,0
-0.30655788195456973,3.2085921360327316,west,0
0.2565516458675206,-0.5053469144762512,south,0
-0.2938560550257995,-1.2078464166591396,west,0
-0.3547084649887684,0.5913527431653398,west,0
-0.6168151525371501,0.34000365905220237,south,0
0.08958446690608873,-0.9962452593378184,west,1
-1.3441660008066356,-0.9367339198202601,west,1
0.052184899307776686,0.8025326480832135,west,0
1.3100257323485311,0.26687076455047115,south,1
-0.7669128788338543,0.39078380275494706,east,0
-0.04539173803348671,0.8495445985078055,west,1
2.817209016484243,-0.621765797295769,north,1
-0.9926744097609564,1.246840633654848,west,0
-1.621141524211868,0.01709578817885511,west,0
-0.42680913157992273,0.7108683973878703,east,0
1.8069379803781687,-0.9244765514585456,north,1
2.035115511784091,0.7468294777927093,south,0
-1.2159872631305197,0.27711759969086525,north,1
0.5701405884703373,2.4762073323741025,south,0
0.004521431343134918,-0.15000838401427574,east,0
-0.5883707554353481,1.532205838061597,east,0
-1.9456978173547614,0.6430677931202534,north,0
1.0245839797071592,1.5768531664420402,south,0
-0.8605383067300788,0.24867335439343105,north,0
0.29900768417420936,0.49467080845503375,east,1
0.08189396317057414,-2.201864880558068,north,1
1.8701812688972848,-1.2614710169282073,west,1
1.1759947894135871,1.0599310868487861,east,1
-1.1553360632608776,0.43970311822212305,north,0
-0.2623951558776075,0.7889237041384558,south,0
1.0368475527289776,-0.24403664416520585,west,1
-1.333014964281339,0.8018409941574018,west,0
